Laptop,Status,Brand,Country_code,Model,CPU,RAM,Storage,Storage type,Screen,Touch,Price
"HP 15S-FQ4051NS Intel Core i5-1155G7/8GB/256GB SSD/15.6""",New,HP,PA,15S,Intel Core i5,8,256,SSD,15.6,No,571.39
"HP 15S-FQ4053NS Intel Core i5-1155G7/8GB/256GB SSD/15.6""",New,HP,PE,15S,Intel Core i5,8,256,SSD,15.6,No,542.99
"HP 15S-FQ4057NS Intel Core i5-1155G7/8GB/256GB SSD/15.6""",New,HP,PF,15S,Intel Core i5,8,256,SSD,15.6,No,494.81
"HP 15S-FQ4058NS Intel Core i5-1155G7/8GB/256GB SSD/15.6""",New,HP,PG,15S,Intel Core i5,8,256,SSD,15.6,No,507.14
"HP 15S-FQ4060NS Intel Core i5-1155G7/8GB/512GB SSD/15.6""",New,HP,PH,15S,Intel Core i5,8,512,SSD,15.6,No,550.78
"HP 15S-FQ4065NS Intel Core i7-1195G7/8GB/512GB SSD/15.6""",New,HP,PK,15S,Intel Core i7,8,512,SSD,15.6,No,734.64
"HP 15S-FQ5016NS Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,HP,PL,15S,Intel Core i5,8,512,SSD,15.6,No,759
"HP 15S-FQ5042NS Intel Core i7-1255U/8GB/512GB SSD/15.6""",New,HP,PM,15S,Intel Core i7,8,512,SSD,15.6,No,901
"HP 15S-FQ5072NS Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,HP,PN,15S,Intel Core i5,8,512,SSD,15.6,No,526.1
"HP 15S-FQ5077NS Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,HP,PR,15S,Intel Core i5,8,512,SSD,15.6,No,676
"HP 15S-FQ5079NS Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,HP,PS,15S,Intel Core i5,8,512,SSD,15.6,No,614.99
"HP 15S-eq2097ns AMD Ryzen 3 5300U/8GB/256GB SSD/15.6""",New,HP,PT,15S,AMD Ryzen 3,8,256,SSD,15.6,No,461.05
"HP 15S-fq2133ns Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,HP,PW,15S,Intel Core i3,8,256,SSD,15.6,No,432.26
"HP 15S-fq3011ns Intel Celeron N4500/8GB/256GB SSD/15.6""",New,HP,PY,15S,Intel Celeron,8,256,SSD,15.6,No,402.22
"HP 15s-eq2133ns AMD Ryzen 5 5500U/8GB/256GB SSD/15.6""",New,HP,QA,15S,AMD Ryzen 5,8,256,SSD,15.6,No,476.99
"HP 15s-fq4049ns Intel Core i7-1195G7/8GB/512GB SSD/15.6""",New,HP,RE,15S,Intel Core i7,8,512,SSD,15.6,No,628.96
"HP 15s-fq4056ns Intel Core i7-1195G7/8GB/512GB SSD/15.6""",New,HP,RO,15S,Intel Core i7,8,512,SSD,15.6,No,716.14
"HP 17-CN0014NS Intel Core i3-1115G4/8GB/512GB SSD/17.3""",New,HP,RS,17,Intel Core i3,8,512,SSD,17.3,No,661.11
"HP 250 G7 Intel Core i5-1035G1/8 GB/256GB SSD/15.6""",New,HP,RU,250,Intel Core i5,8,256,SSD,15.6,No,1730.38
"HP 250 G8 2X7L0EA Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,HP,RW,250,Intel Core i3,8,256,SSD,15.6,No,466.1
"HP 250 G8 Intel Core i3-1115G4/8 GB/512GB SSD/15.6""",New,HP,SA,250,Intel Core i3,8,512,SSD,15.6,No,445.89
"HP 250 G8 Intel Core i3-1115G4/8GB/256GB SSD/15.6"" Plata",New,HP,SB,250,Intel Core i3,8,256,SSD,15.6,No,586.4
"HP 250 G8 Intel Core i5-1135G7/8 GB/256 GB SSD/15.6""",New,HP,SC,250,Intel Core i5,8,256,SSD,15.6,No,876.08
"HP 250 G8 Intel Core i5-1135G7/8GB/512GB SSD/15.6""",New,HP,SD,250,Intel Core i5,8,512,SSD,15.6,No,741
"HP 250 G9 Intel Core i5-1235U/8GB/256GB SSD/15.6""",New,HP,SE,250,Intel Core i5,8,256,SSD,15.6,No,791
"HP 250 G9 Intel Core i5-1235U/8GB/512 GB SSD/15.6""",New,HP,SG,250,Intel Core i5,8,512,SSD,15.6,No,882.01
"HP 255 G7 AMD Ryzen 5 3500U/8 GB/256 GB SSD/15.6""",New,HP,SH,255,AMD Ryzen 5,8,256,SSD,15.6,No,1094.9
"HP 255 G8 AMD Ryzen 3 3250U/8 GB/256 GB SSD/15.6""",New,HP,SI,255,AMD Ryzen 3,8,256,SSD,15.6,No,455.55
"HP 255 G8 AMD Ryzen 3 5300U/8GB/256GB SSD/15.6""",New,HP,SJ,255,AMD Ryzen 3,8,256,SSD,15.6,No,839.14
"HP 255 G8 AMD Ryzen 5 3500U/8 GB/256GB SSD/15.6""",New,HP,SK,255,AMD Ryzen 5,8,256,SSD,15.6,No,644.7
"HP 255 G9 AMD Ryzen 5 5625U/8GB/256GB SSD/15.6""",New,HP,SL,255,AMD Ryzen 5,8,256,SSD,15.6,No,538.99
"HP 340S G7 Intel Core i3-1005G1/8GB/2565GB SSD/14""",New,HP,SM,G7,Intel Core i3,8,256,SSD,14,No,581.07
"HP ChromeBook 14a-na0023ns Intel Celeron N4120/4GB/64GB eMMC/14""",New,HP,SN,Chromebook,Intel Celeron,4,64,eMMC,14,No,329
"HP Chromebook 11MK G9 Mediatek MT8183/4GB/32GB EMMC/11.6""",New,HP,SO,Chromebook,Mediatek MT8183,4,32,eMMC,11.6,No,458
"HP Chromebook X360 11 G3 Intel Celeron N4020/4GB/32GB eMMC/11.6"" T谩ctil",New,HP,SR,Chromebook,Intel Celeron,4,32,eMMC,11.6,Yes,332.41
"HP ENVY 13-ba1001np Intel Core i5-1135G7/8GB/512GB SSD/13.3""(PT)",New,HP,ST,Envy,Intel Core i5,8,512,SSD,13.3,No,1049.99
HP ENVY x360 2-in-1 Laptop 15-ew0008np Intel Core i7-1255U/16GB/512GB SSD/RTX2050/T谩til (PT),New,HP,SV,Envy,Intel Core i7,16,512,SSD,,Yes,1863.52
"HP Elite Dragonfly G3 Intel Core i7-1255U/16GB/1TB SSD/13.5""",New,HP,SY,Go,Intel Core i7,16,1000,SSD,13.5,No,1699.01
"HP EliteBook 1040 G9 Intel Core i7-1255U/32GB/1TB SSD/14""",New,HP,SZ,EliteBook,Intel Core i7,32,1000,SSD,14,No,2502.66
"HP EliteBook 1040 Intel Core i5-1235U/16GB/512GB SSD/14""",New,HP,TC,EliteBook,Intel Core i5,16,512,SSD,14,No,1624.46
"HP EliteBook 630 G9 Intel Core i5-1235U/8GB/512GB SSD/13.3""",New,HP,TD,EliteBook,Intel Core i5,8,512,SSD,13.3,No,1042.26
"HP EliteBook 640 G9 Intel Core i5-1235U/8GB/512GB SSD/14""",Refurbished,HP,TF,EliteBook,Intel Core i5,8,512,SSD,14,No,1474.28
"HP EliteBook 650 G9 Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,HP,TG,EliteBook,Intel Core i5,8,512,SSD,15.6,No,1064.59
"HP EliteBook 840 G8 Intel Core i5-1135G7/8GB/256GB SSD/14""",New,HP,TH,EliteBook,Intel Core i5,8,256,SSD,14,No,1519.99
"HP EliteBook 840 G9 Intel Core i5-1235U/16GB/512GB SSD/14""",Refurbished,HP,TJ,EliteBook,Intel Core i5,16,512,SSD,14,No,2025.96
"HP EliteBook 850 G8 Intel Core i5-1135G7/8GB/256GB SSD/15.6""",New,HP,TK,EliteBook,Intel Core i5,8,256,SSD,15.6,No,1015.01
"HP EliteBook 860 G9 Intel Core i5-1235U/16GB/512GB SSD/16""",New,HP,TL,EliteBook,Intel Core i5,16,512,SSD,16,No,1463.31
"HP EliteBook x360 1030 G8 Intel Core i5-1135G7/16GB/512GB SSD/13.3"" T谩ctil",New,HP,TM,EliteBook,Intel Core i5,16,512,SSD,13.3,Yes,1999
"HP EliteBook x360 830 G8 Intel Core i5-1135G7/8GB/512GB SSD/13.3"" T谩ctil",New,HP,TN,EliteBook,Intel Core i5,8,512,SSD,13.3,Yes,1051.96
HP Laptop 15S-EQ2052NP AMD Ryzen 7-5700U/12GB/256GB SSD/15.6'' (PT),New,HP,TO,15S,AMD Ryzen 7,12,256,SSD,15.6,No,750.08
"HP OMEN 16-B1018NS Intel Core i7-12700H/16GB/1TB SSD/RTX 3060/16.1""",New,HP,TR,Omen,Intel Core i7,16,1000,SSD,16.1,No,1627.74
"HP OMEN 16-c0007np AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3070/16.1""(PT)",New,HP,TT,Omen,AMD Ryzen 7,16,512,SSD,16.1,No,2025.23
"HP Pavilion 14-DV2006NS Intel Core i5-1235U/16GB/512GB SSD/14""",New,HP,TV,Pavilion,Intel Core i5,16,512,SSD,14,No,977
"HP Pavilion 14-dv1009ns Intel Core i5-1155G7/16GB/512GB SSD/14""",New,HP,TW,Pavilion,Intel Core i5,16,512,SSD,14,No,920.82
"HP Pavilion 15-EH1001NS AMD Ryzen 5 5500U/16GB/512GB SSD/15.6""",New,HP,TZ,Pavilion,AMD Ryzen 5,16,512,SSD,15.6,No,816.21
"HP Pavilion x360 14-ek0018ns Intel Core  i5-1235U/8GB/512GB SSD/14"" T谩ctil",New,HP,UA,Pavilion,Intel Core i5,8,512,SSD,14,Yes,987
"HP Pavilion x360 14-ek0039ns Intel Core i3-1215U/8GB/256GB SSD/14"" T谩ctil",New,HP,UG,Pavilion,Intel Core i3,8,256,SSD,14,Yes,793
"HP Pavilion聽x360 14-ek0032ns Intel Core i7-1255U/16GB/512GB SSD/14"" T谩ctil",New,HP,UM,Pavilion,Intel Core i7,16,512,SSD,14,Yes,1205
"HP ProBook 430 G6 Intel Core i5-8265U/4GB/500GB/13.3""",New,HP,US,ProBook,Intel Core i5,4,500,,13.3,No,919.83
"HP ProBook 450 G8 Intel Core i5-1135G7/8GB/256GB SSD/15.6""",New,HP,UY,ProBook,Intel Core i5,8,256,SSD,15.6,No,1399.24
"HP ProBook 450 G8 Intel Core i5-1135G7/8GB/256GB SSD/15.6"" Plata",New,HP,UZ,ProBook,Intel Core i5,8,256,SSD,15.6,No,776.32
"HP Victus 15-fa0053ns Intel Core i5-12450H/16GB/512GB SSD/RTX 3050/15.6""",New,HP,VA,Victus,Intel Core i5,16,512,SSD,15.6,No,899.01
"HP Victus 16-D1024NS Intel Core i7-12700H/16GB/512GB SSD/RTX 3050 Ti/16.1""",New,HP,VC,Victus,Intel Core i7,16,512,SSD,16.1,No,1220.78
"HP Victus 16-D1025NS Intel Core i7-12700H/16GB/512GB SSD/RTX 3050 Ti/16.1""",New,HP,VE,Victus,Intel Core i7,16,512,SSD,16.1,No,1301
"HP Victus 16-D1036NS Intel Core i7-12700H/16GB/512GB SSD/RTX 3050 Ti/16.1""",New,HP,VG,Victus,Intel Core i7,16,512,SSD,16.1,No,1192.98
"HP Victus 16-E0068NS AMD Ryzen 5-5600H/8GB/512GB SSD/GTX 1650/16.1""",New,HP,VI,Victus,AMD Ryzen 5,8,512,SSD,16.1,No,812.52
"HP Victus 16-E0071NS AMD Ryzen 7 5800H/8GB/512GB SSD/RX 5500M/16.1""",New,HP,VN,Victus,AMD Ryzen 7,8,512,SSD,16.1,No,909.13
"HP Victus 16-E0094NS AMD Ryzen 5 5600H/16GB/512GB SSD/RTX 3050Ti/16.1""",New,HP,VU,Victus,AMD Ryzen 5,16,512,SSD,16.1,No,865.4
"HP Victus 16-E0098NS AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3050/16.1""",New,HP,WF,Victus,AMD Ryzen 7,16,512,SSD,16.1,No,998.56
"HP Victus 16-E0100NS AMD Ryzen 5 5600H/8GB/512GB SSD/GTX 1650/16.1""",New,HP,WS,Victus,AMD Ryzen 5,8,512,SSD,16.1,No,792.65
"HP ZBook Firefly 14 G8 Intel Core i5-1135G7/16GB/512 GB SSD/14""",New,HP,XK,Zbook,Intel Core i5,16,512,SSD,14,No,2426.81
"HP ZBook Firefly 14 G8 Intel Core i5-1135G7/16GB/512GB SSD/14""",New,HP,YE,Zbook,Intel Core i5,16,512,SSD,14,No,1385
"HP ZBook Firefly 14 G9 Intel Core i7-1260P/16 GB/512GB SSD/14""",New,HP,YT,Zbook,Intel Core i7,16,512,SSD,14,No,1778
"HP ZBook Firefly 14 G9 Intel Core i7-1260P/16GB/512GB SSD/14""",New,HP,ZA,Zbook,Intel Core i7,16,512,SSD,14,No,1997.09
"HP ZBook Firefly 14 G9 Intel Core i7-1265U/16GB/512GB SSD/Quadro T500/14""",New,HP,ZM,Zbook,Intel Core i7,16,512,SSD,14,No,1800.03
"HP ZBook Firefly 16 G9 Intel Core i7-1265U/16GB/512GB SSD/Quadro T500/16""",New,HP,ZW,Zbook,Intel Core i7,16,512,SSD,16,No,1800.03
"HP ZBook Firefly G8 Intel Core i5-1135G7/16GB/512GB SSD/14"" T谩ctil",New,HP,AD,Zbook,Intel Core i5,16,512,SSD,14,Yes,2426.53
